	Breast-03	Breast-08	Breast-100	Breast-10	Breast-15	Breast-16	Breast-21	Breast-33	Breast-42	Breast-454	Breast-48	Breast-50	Breast-55	Breast-564	Breast-56	Breast-590	Breast-59	Breast-603	Breast-60	Breast-61	Breast-85	Breast-86	Breast-97	Breast-ALK-82	Breast-H11	Breast-H31	Breast-H38	Breast-H59	Breast-H63	Breast-H66	Breast-H68	Breast-H74	Breast-H75	Breast-H76	Breast-H81	Breast-H83	Breast-H84	Breast-H89	Breast-H92
Pusillimonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rahnella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ralstonia	1.773049645	3.167062549	0	0	0	1.84222957	4.633781764	0.364132909	0	0	5.717151454	12.88888889	7.528230866	0	2.247191011	0	9.127625202	0	0	3.733766234	0	0	0.94488189	0	0	0	0.394996708	0	0	0	0	2.134146341	0	0	0	0	0	0.251084227	0.133008202
Raoultella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rhizobium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rhodococcus	0	0	0	0	0	0	0	0.227583068	0	0	0	0	0.752823087	0	0	0	0	0	0	0	0	0	0	0	0	0	1.053324556	0	0	0	0.540540541	0	0	0.439367311	0	0	0	0.182606711	0
Rhodoferax	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rhodopseudomonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rickettsiella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Roseburia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Roseinatronobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Roseomonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.45045045	0	0	0	0	0	0	0	0
Roseovarius	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rothia	1.773049645	0	0	0	0	0	0	0.273099681	0	0	0	0	0	0	0	0	0	0	0	2.11038961	0	2.512562814	0	0	0	0	0	0	7.8125	0	0.630630631	0	0	0	0	0	0	0.114129194	0.199512303
Rouxiella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rugamonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ruminococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Saccharopolyspora	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Salmonella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sanguibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sanguibacteroides	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Serratia	0	0.197941409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.726978998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shewanella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Simonsiella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sneathia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sphingobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sphingobium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.802568218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.433690938	0
Sphingomonas	6.382978723	0.989707047	0	8.333333333	2.189781022	1.606046292	1.569506726	0.910332271	0	0	2.106318957	6.222222222	1.756587202	0	7.704654896	0	2.504038772	0	0	3.896103896	0	0	3.307086614	0	0	4.672897196	0	0	5.208333333	0	0.45045045	0	0	0.263620387	0	0	0	0.479342616	0.266016404
Sphingopyxis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Spirosoma	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Staphylococcus	5.673758865	2.929532858	0	18.05555556	6.569343066	18.80018895	3.512705531	9.285389167	4.761904762	6.024096386	3.7111334	6.222222222	11.16687578	38.0952381	5.778491172	6.18556701	5.169628433	1.325757576	11.87739464	4.87012987	0	7.788944724	9.212598425	10.37037037	0	29.90654206	7.175773535	2.032520325	13.54166667	13.596785	7.477477477	4.87804878	0	8.875219684	45.22968198	9.803921569	24.13793103	4.199954348	4.610951009
Stenotrophomonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.266016404
Streptococcus	3.191489362	2.137767221	41.91176471	3.472222222	8.394160584	2.92867265	2.092675635	3.186162949	13.60544218	30.12048193	2.507522568	3.777777778	3.262233375	0	1.926163724	18.55670103	7.754442649	1.325757576	6.513409962	1.298701299	6.976744186	4.522613065	5.984251969	5.925925926	9.574468085	21.4953271	2.040816327	0	32.29166667	0.803750837	4.054054054	7.012195122	0	3.9543058	0	0	0	2.670623145	2.194635336
Streptomyces	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sulfurihydrogenibium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tannerella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.540540541	0	0	0	0	0	0	0	0
Tepidimonas	0	0	0	0	4.379562044	0	0	0.910332271	0	0	0	0	0	0	1.76565008	0	0.646203554	0	15.3256705	0	0	0	0.787401575	0	0	0	0	0	0	0	0	0	0	0.219683656	0	0	0	9.564026478	0
